step,agent_id,attention,destination,emissions_total_g,location,modal_share,mode,performance,stress,t,working_memory
8,agent_6,0.4471,"(0.7108753221575054, 3.9503592217940082)",,"(0.7108753221575054, 3.9503592217940082)",,bike,0.3724,0.2496,8,0.5019
8,agent_7,0.4677,"(2.8670404284046356, 1.3266085263078164)",,"(2.8670404284046356, 1.3266085263078164)",,bike,0.358,0.2448,8,0.4448
8,agent_8,0.4466,"(1.7173107907798228, 4.007482956460165)",,"(1.7173107907798228, 4.007482956460165)",,bike,0.3515,0.2483,8,0.455
8,agent_9,0.454,"(2.635374760807083, 4.046692623219024)",,"(2.635374760807083, 4.046692623219024)",,bike,0.3776,0.2444,8,0.501
8,agent_10,0.4649,"(3.846395449569619, 2.563760669320325)",,"(3.846395449569619, 2.563760669320325)",,bike,0.3681,0.2352,8,0.4602
8,agent_11,0.4745,"(3.333288155365905, 4.450492852684512)",,"(3.333288155365905, 4.450492852684512)",,bike,0.3321,0.2547,8,0.3909
8,agent_12,0.4721,"(1.8726081591124166, 0.1592065337055093)",,"(1.8726081591124166, 0.1592065337055093)",,bike,0.3668,0.2273,8,0.4421
8,,,,0.0,,{'bike': 12},,,,,
9,agent_1,0.4462,"(2.0362088183519917, 0.5385011746921953)",,"(2.0362088183519917, 0.5385011746921953)",,bike,0.3404,0.2647,9,0.4474
9,agent_2,0.4437,"(2.6810102001696343, 1.660988492548399)",,"(2.6810102001696343, 1.660988492548399)",,bike,0.366,0.2381,9,0.4796
9,agent_3,0.4448,"(1.6860832855463777, 1.6689819731447764)",,"(1.6860832855463777, 1.6689819731447764)",,bike,0.3536,0.2592,9,0.4724
9,agent_4,0.4333,"(2.1813789670760917, 0.43806749875211437)",,"(2.1813789670760917, 0.43806749875211437)",,bike,0.3385,0.2639,9,0.4553
9,agent_5,0.4627,"(1.5772948686793165, 2.2416085415347187)",,"(1.5772948686793165, 2.2416085415347187)",,bike,0.3889,0.2303,9,0.5031
9,agent_6,0.4428,"(0.7108753221575054, 3.9503592217940082)",,"(0.7108753221575054, 3.9503592217940082)",,bike,0.3472,0.2503,9,0.4512
9,agent_7,0.4599,"(2.8670404284046356, 1.3266085263078164)",,"(2.8670404284046356, 1.3266085263078164)",,bike,0.3362,0.2486,9,0.4082
9,agent_8,0.4391,"(1.7173107907798228, 4.007482956460165)",,"(1.7173107907798228, 4.007482956460165)",,bike,0.3265,0.2534,9,0.4124
9,agent_9,0.4474,"(2.635374760807083, 4.046692623219024)",,"(2.635374760807083, 4.046692623219024)",,bike,0.3709,0.2413,9,0.49
9,agent_10,0.465,"(3.846395449569619, 2.563760669320325)",,"(3.846395449569619, 2.563760669320325)",,bike,0.3871,0.2307,9,0.4974
9,agent_11,0.4651,"(3.333288155365905, 4.450492852684512)",,"(3.333288155365905, 4.450492852684512)",,bike,0.3245,0.2589,9,0.3876
9,agent_12,0.4661,"(1.8726081591124166, 0.1592065337055093)",,"(1.8726081591124166, 0.1592065337055093)",,bike,0.3651,0.2288,9,0.4458
9,,,,0.0,,{'bike': 12},,,,,
10,agent_1,0.444,"(2.0362088183519917, 0.5385011746921953)",,"(2.0362088183519917, 0.5385011746921953)",,bike,0.3145,0.2688,10,0.3967
10,agent_2,0.4377,"(2.6810102001696343, 1.660988492548399)",,"(2.6810102001696343, 1.660988492548399)",,bike,0.3348,0.2436,10,0.4224
10,agent_3,0.4407,"(1.6860832855463777, 1.6689819731447764)",,"(1.6860832855463777, 1.6689819731447764)",,bike,0.3272,0.262,10,0.4209
10,agent_4,0.4238,"(2.1813789670760917, 0.43806749875211437)",,"(2.1813789670760917, 0.43806749875211437)",,bike,0.3231,0.2665,10,0.4335
